
executed_tx 100, accessedPercentage 50
executed_tx 200, accessedPercentage 50
executed_tx 300, accessedPercentage 50
executed_tx 400, accessedPercentage 50
executed_tx 500, accessedPercentage 50
executed_tx 600, accessedPercentage 50
executed_tx 700, accessedPercentage 50
executed_tx 800, accessedPercentage 50
executed_tx 900, accessedPercentage 50
executed_tx 1000, accessedPercentage 50
executed_tx 1100, accessedPercentage 50
executed_tx 1200, accessedPercentage 50
executed_tx 1300, accessedPercentage 50
Predicted: 255959.187500|258415.734375|259237.656250|0.000000, measured: 0.001755, max txs: 8, ab.prob: 0.139431
executed_tx 1400, accessedPercentage 50
executed_tx 1500, accessedPercentage 50
executed_tx 1600, accessedPercentage 50
executed_tx 1700, accessedPercentage 50
executed_tx 1800, accessedPercentage 50
executed_tx 1900, accessedPercentage 50
executed_tx 2000, accessedPercentage 50
executed_tx 2100, accessedPercentage 50
executed_tx 2200, accessedPercentage 50
executed_tx 2300, accessedPercentage 50
executed_tx 2400, accessedPercentage 50
executed_tx 2500, accessedPercentage 50
executed_tx 2600, accessedPercentage 50
Predicted: 360306.468750|363857.187500|364112.031250|0.000000, measured: 558834.375000, max txs: 8, ab.prob: 0.130220
executed_tx 2700, accessedPercentage 50
executed_tx 2800, accessedPercentage 50
executed_tx 2900, accessedPercentage 50
executed_tx 3000, accessedPercentage 50
executed_tx 3100, accessedPercentage 50
executed_tx 3200, accessedPercentage 51
executed_tx 3300, accessedPercentage 51
executed_tx 3400, accessedPercentage 51
executed_tx 3500, accessedPercentage 51
executed_tx 3600, accessedPercentage 51
executed_tx 3700, accessedPercentage 51
Predicted: 398894.968750|403256.343750|403923.187500|0.000000, measured: 546692.812500, max txs: 8, ab.prob: 0.142104
executed_tx 3800, accessedPercentage 51
executed_tx 3900, accessedPercentage 51
executed_tx 4000, accessedPercentage 51
executed_tx 4100, accessedPercentage 51
executed_tx 4200, accessedPercentage 51
executed_tx 4300, accessedPercentage 51
executed_tx 4400, accessedPercentage 51
executed_tx 4500, accessedPercentage 51
executed_tx 4600, accessedPercentage 51
executed_tx 4700, accessedPercentage 51
executed_tx 4800, accessedPercentage 51
Predicted: 403917.000000|409348.375000|409820.968750|0.000000, measured: 544735.562500, max txs: 8, ab.prob: 0.140123
executed_tx 4900, accessedPercentage 51
executed_tx 5000, accessedPercentage 51
executed_tx 5100, accessedPercentage 51
executed_tx 5200, accessedPercentage 51
executed_tx 5300, accessedPercentage 51
executed_tx 5400, accessedPercentage 51
executed_tx 5500, accessedPercentage 51
executed_tx 5600, accessedPercentage 51
executed_tx 5700, accessedPercentage 51
executed_tx 5800, accessedPercentage 51
executed_tx 5900, accessedPercentage 51
Predicted: 406872.781250|410144.250000|410685.625000|0.000000, measured: 548716.937500, max txs: 8, ab.prob: 0.132913
executed_tx 6000, accessedPercentage 51
executed_tx 6100, accessedPercentage 51
executed_tx 6200, accessedPercentage 51
executed_tx 6300, accessedPercentage 51
executed_tx 6400, accessedPercentage 52
executed_tx 6500, accessedPercentage 52
executed_tx 6600, accessedPercentage 52
executed_tx 6700, accessedPercentage 52
executed_tx 6800, accessedPercentage 52
executed_tx 6900, accessedPercentage 52
executed_tx 7000, accessedPercentage 52
executed_tx 7100, accessedPercentage 52
Predicted: 397692.937500|402552.625000|403143.062500|0.000000, measured: 543171.375000, max txs: 8, ab.prob: 0.146133
executed_tx 7200, accessedPercentage 52
executed_tx 7300, accessedPercentage 52
executed_tx 7400, accessedPercentage 52
executed_tx 7500, accessedPercentage 52
executed_tx 7600, accessedPercentage 52
executed_tx 7700, accessedPercentage 52
executed_tx 7800, accessedPercentage 52
executed_tx 7900, accessedPercentage 52
executed_tx 8000, accessedPercentage 52
executed_tx 8100, accessedPercentage 52
executed_tx 8200, accessedPercentage 52
Predicted: 406336.312500|409527.093750|410313.125000|0.000000, measured: 548534.125000, max txs: 8, ab.prob: 0.135541
executed_tx 8300, accessedPercentage 52
executed_tx 8400, accessedPercentage 52
executed_tx 8500, accessedPercentage 52
executed_tx 8600, accessedPercentage 52
executed_tx 8700, accessedPercentage 52
executed_tx 8800, accessedPercentage 52
executed_tx 8900, accessedPercentage 52
executed_tx 9000, accessedPercentage 52
executed_tx 9100, accessedPercentage 52
executed_tx 9200, accessedPercentage 52
executed_tx 9300, accessedPercentage 52
Predicted: 392282.593750|395262.031250|395700.531250|0.000000, measured: 548392.875000, max txs: 8, ab.prob: 0.135750
executed_tx 9400, accessedPercentage 52
executed_tx 9500, accessedPercentage 52
executed_tx 9600, accessedPercentage 53
executed_tx 9700, accessedPercentage 53
executed_tx 9800, accessedPercentage 53
executed_tx 9900, accessedPercentage 53
executed_tx 10000, accessedPercentage 53
executed_tx 10100, accessedPercentage 53
executed_tx 10200, accessedPercentage 53
executed_tx 10300, accessedPercentage 53
executed_tx 10400, accessedPercentage 53
executed_tx 10500, accessedPercentage 53
Predicted: 388173.281250|391810.718750|392189.718750|0.000000, measured: 603927.687500, max txs: 8, ab.prob: 0.124550
executed_tx 10600, accessedPercentage 53
executed_tx 10700, accessedPercentage 53
executed_tx 10800, accessedPercentage 53
executed_tx 10900, accessedPercentage 53
executed_tx 11000, accessedPercentage 53
executed_tx 11100, accessedPercentage 53
executed_tx 11200, accessedPercentage 53
executed_tx 11300, accessedPercentage 53
executed_tx 11400, accessedPercentage 53
executed_tx 11500, accessedPercentage 53
executed_tx 11600, accessedPercentage 53
Predicted: 398735.093750|402544.687500|402983.343750|0.000000, measured: 548140.750000, max txs: 8, ab.prob: 0.136566
executed_tx 11700, accessedPercentage 53
executed_tx 11800, accessedPercentage 53
executed_tx 11900, accessedPercentage 53
executed_tx 12000, accessedPercentage 53
executed_tx 12100, accessedPercentage 53
executed_tx 12200, accessedPercentage 53
executed_tx 12300, accessedPercentage 53
executed_tx 12400, accessedPercentage 53
executed_tx 12500, accessedPercentage 53
executed_tx 12600, accessedPercentage 53
executed_tx 12700, accessedPercentage 53
Predicted: 404848.500000|409882.781250|410356.968750|0.000000, measured: 616788.312500, max txs: 8, ab.prob: 0.127301
executed_tx 12800, accessedPercentage 54
executed_tx 12900, accessedPercentage 54
executed_tx 13000, accessedPercentage 54
executed_tx 13100, accessedPercentage 54
executed_tx 13200, accessedPercentage 54
executed_tx 13300, accessedPercentage 54
executed_tx 13400, accessedPercentage 54
executed_tx 13500, accessedPercentage 54
executed_tx 13600, accessedPercentage 54
executed_tx 13700, accessedPercentage 54
executed_tx 13800, accessedPercentage 54
executed_tx 13900, accessedPercentage 54
Predicted: 404092.750000|409269.093750|409552.593750|0.000000, measured: 547666.250000, max txs: 8, ab.prob: 0.135694
executed_tx 14000, accessedPercentage 54
executed_tx 14100, accessedPercentage 54
executed_tx 14200, accessedPercentage 54
executed_tx 14300, accessedPercentage 54
executed_tx 14400, accessedPercentage 54
executed_tx 14500, accessedPercentage 54
executed_tx 14600, accessedPercentage 54
executed_tx 14700, accessedPercentage 54
executed_tx 14800, accessedPercentage 54
executed_tx 14900, accessedPercentage 54
executed_tx 15000, accessedPercentage 54
Predicted: 393111.062500|396224.625000|396773.250000|0.000000, measured: 616825.750000, max txs: 8, ab.prob: 0.118079
executed_tx 15100, accessedPercentage 54
executed_tx 15200, accessedPercentage 54
executed_tx 15300, accessedPercentage 54
executed_tx 15400, accessedPercentage 54
executed_tx 15500, accessedPercentage 54
executed_tx 15600, accessedPercentage 54
executed_tx 15700, accessedPercentage 54
executed_tx 15800, accessedPercentage 54
executed_tx 15900, accessedPercentage 54
executed_tx 16000, accessedPercentage 55
executed_tx 16100, accessedPercentage 55
Predicted: 391159.531250|395598.218750|395976.375000|0.000000, measured: 549950.750000, max txs: 8, ab.prob: 0.129412
executed_tx 16200, accessedPercentage 55
executed_tx 16300, accessedPercentage 55
executed_tx 16400, accessedPercentage 55
executed_tx 16500, accessedPercentage 55
executed_tx 16600, accessedPercentage 55
executed_tx 16700, accessedPercentage 55
executed_tx 16800, accessedPercentage 55
executed_tx 16900, accessedPercentage 55
executed_tx 17000, accessedPercentage 55
executed_tx 17100, accessedPercentage 55
executed_tx 17200, accessedPercentage 55
executed_tx 17300, accessedPercentage 55
Predicted: 400566.187500|404184.187500|404915.562500|0.000000, measured: 547788.375000, max txs: 8, ab.prob: 0.133422
executed_tx 17400, accessedPercentage 55
executed_tx 17500, accessedPercentage 55
executed_tx 17600, accessedPercentage 55
executed_tx 17700, accessedPercentage 55
executed_tx 17800, accessedPercentage 55
executed_tx 17900, accessedPercentage 55
executed_tx 18000, accessedPercentage 55
executed_tx 18100, accessedPercentage 55
executed_tx 18200, accessedPercentage 55
executed_tx 18300, accessedPercentage 55
executed_tx 18400, accessedPercentage 55
Predicted: 398956.875000|402822.281250|403525.750000|0.000000, measured: 622403.187500, max txs: 8, ab.prob: 0.116474
executed_tx 18500, accessedPercentage 55
executed_tx 18600, accessedPercentage 55
executed_tx 18700, accessedPercentage 55
executed_tx 18800, accessedPercentage 55
executed_tx 18900, accessedPercentage 55
executed_tx 19000, accessedPercentage 55
executed_tx 19100, accessedPercentage 55
executed_tx 19200, accessedPercentage 56
executed_tx 19300, accessedPercentage 56
executed_tx 19400, accessedPercentage 56
executed_tx 19500, accessedPercentage 56
Predicted: 407862.312500|411608.156250|412327.875000|0.000000, measured: 549478.125000, max txs: 8, ab.prob: 0.125013
executed_tx 19600, accessedPercentage 56
executed_tx 19700, accessedPercentage 56
executed_tx 19800, accessedPercentage 56
executed_tx 19900, accessedPercentage 56
executed_tx 20000, accessedPercentage 56
executed_tx 20100, accessedPercentage 56
executed_tx 20200, accessedPercentage 56
executed_tx 20300, accessedPercentage 56
executed_tx 20400, accessedPercentage 56
executed_tx 20500, accessedPercentage 56
executed_tx 20600, accessedPercentage 56
Predicted: 414081.531250|416998.593750|417579.406250|0.000000, measured: 549815.687500, max txs: 8, ab.prob: 0.126783
executed_tx 20700, accessedPercentage 56
executed_tx 20800, accessedPercentage 56
executed_tx 20900, accessedPercentage 56
executed_tx 21000, accessedPercentage 56
executed_tx 21100, accessedPercentage 56
executed_tx 21200, accessedPercentage 56
executed_tx 21300, accessedPercentage 56
executed_tx 21400, accessedPercentage 56
executed_tx 21500, accessedPercentage 56
executed_tx 21600, accessedPercentage 56
executed_tx 21700, accessedPercentage 56
Predicted: 400368.125000|404821.343750|405332.125000|0.000000, measured: 548107.000000, max txs: 8, ab.prob: 0.131891
executed_tx 21800, accessedPercentage 56
executed_tx 21900, accessedPercentage 56
executed_tx 22000, accessedPercentage 56
executed_tx 22100, accessedPercentage 56
executed_tx 22200, accessedPercentage 56
executed_tx 22300, accessedPercentage 56
executed_tx 22400, accessedPercentage 57
executed_tx 22500, accessedPercentage 57
executed_tx 22600, accessedPercentage 57
executed_tx 22700, accessedPercentage 57
